,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,min_temp,max_temp,Temperature Feel,pressure,humidity,sunrise,sunset
0,"{'lon': -0.1257, 'lat': 51.5085}","{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",stations,"{'temp': 283.38, 'feels_like': 282.55, 'temp_min': 282.42, 'temp_max': 284.24, 'pressure': 1007, 'humidity': 80}",10000,"{'speed': 5.14, 'deg': 230}",Clouds,1641223015,"{'type': 2, 'id': 2019646, 'country': 'GB', 'sunrise': 1641197149, 'sunset': 1641225821}",0,2643743,London,200,,282.42,284.24,282.55,1007,80,1641197149,1641225821
1,"{'lon': 2.3488, 'lat': 48.8534}","{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",stations,"{'temp': 284.82, 'feels_like': 284.42, 'temp_min': 283.71, 'temp_max': 285.58, 'pressure': 1012, 'humidity': 91}",10000,"{'speed': 0.45, 'deg': 225, 'gust': 1.34}",Rain,1641222977,"{'type': 2, 'id': 2041230, 'country': 'FR', 'sunrise': 1641195830, 'sunset': 1641225952}",3600,2988507,Paris,200,{'1h': 0.21},283.71,285.58,284.42,1012,91,1641195830,1641225952
2,"{'lon': 13.4105, 'lat': 52.5244}","{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",stations,"{'temp': 283.24, 'feels_like': 282.29, 'temp_min': 281.62, 'temp_max': 284.2, 'pressure': 996, 'humidity': 76}",10000,"{'speed': 10.28, 'deg': 235, 'gust': 12.07}",Clouds,1641222820,"{'type': 2, 'id': 2011538, 'country': 'DE', 'sunrise': 1641194208, 'sunset': 1641222263}",3600,2950159,Berlin,200,,281.62,284.2,282.29,996,76,1641194208,1641222263
3,"{'lon': 12.5655, 'lat': 55.6759}","{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",stations,"{'temp': 280.26, 'feels_like': 279.7, 'temp_min': 279.27, 'temp_max': 280.6, 'pressure': 998, 'humidity': 92}",7000,"{'speed': 1.34, 'deg': 46}",Clouds,1641223010,"{'type': 2, 'id': 2005001, 'country': 'DK', 'sunrise': 1641195494, 'sunset': 1641221383}",3600,2618425,Copenhagen,200,,279.27,280.6,279.7,998,92,1641195494,1641221383
4,"{'lon': -9.1333, 'lat': 38.7167}","{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}",stations,"{'temp': 288.54, 'feels_like': 288.38, 'temp_min': 285.56, 'temp_max': 293.03, 'pressure': 1024, 'humidity': 86}",3000,"{'speed': 2.06, 'deg': 110}",Fog,1641222643,"{'type': 1, 'id': 6901, 'country': 'PT', 'sunrise': 1641196486, 'sunset': 1641230809}",0,2267057,Lisbon,200,,285.56,293.03,288.38,1024,86,1641196486,1641230809
5,"{'lon': 19.0399, 'lat': 47.498}","{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}",stations,"{'temp': 283.98, 'feels_like': 282.76, 'temp_min': 282.81, 'temp_max': 284.51, 'pressure': 1014, 'humidity': 63}",10000,"{'speed': 3.13, 'deg': 310, 'gust': 4.47}",Clouds,1641222909,"{'type': 2, 'id': 2009661, 'country': 'HU', 'sunrise': 1641191490, 'sunset': 1641222278}",3600,3054643,Budapest,200,,282.81,284.51,282.76,1014,63,1641191490,1641222278
6,"{'lon': 4.8897, 'lat': 52.374}","{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",stations,"{'temp': 282.47, 'feels_like': 280.11, 'temp_min': 281.4, 'temp_max': 283.69, 'pressure': 1003, 'humidity': 85}",10000,"{'speed': 4.47, 'deg': 219, 'gust': 8.94}",Clouds,1641222834,"{'type': 2, 'id': 2011826, 'country': 'NL', 'sunrise': 1641196206, 'sunset': 1641224356}",3600,2759794,Amsterdam,200,,281.4,283.69,280.11,1003,85,1641196206,1641224356
7,"{'lon': -3.7026, 'lat': 40.4165}","{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",stations,"{'temp': 287.28, 'feels_like': 286.52, 'temp_min': 285.38, 'temp_max': 288.83, 'pressure': 1025, 'humidity': 68}",10000,"{'speed': 0.89, 'deg': 158, 'gust': 1.79}",Clear,1641223200,"{'type': 2, 'id': 2007545, 'country': 'ES', 'sunrise': 1641195482, 'sunset': 1641229206}",3600,3117735,Madrid,200,,285.38,288.83,286.52,1025,68,1641195482,1641229206
8,"{'lon': 23.7162, 'lat': 37.9795}","{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",stations,"{'temp': 289.02, 'feels_like': 288.39, 'temp_min': 286.53, 'temp_max': 290.93, 'pressure': 1015, 'humidity': 66}",10000,"{'speed': 0.45, 'deg': 237}",Clear,1641222747,"{'type': 2, 'id': 2018805, 'country': 'GR', 'sunrise': 1641188478, 'sunset': 1641223045}",7200,264371,Athens,200,,286.53,290.93,288.39,1015,66,1641188478,1641223045
9,"{'lon': 16.3721, 'lat': 48.2085}","{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}",stations,"{'temp': 283.73, 'feels_like': 282.67, 'temp_min': 281.23, 'temp_max': 285.7, 'pressure': 1015, 'humidity': 70}",10000,"{'speed': 1.34, 'deg': 329, 'gust': 4.02}",Clouds,1641223020,"{'type': 2, 'id': 2037452, 'country': 'AT', 'sunrise': 1641192303, 'sunset': 1641222746}",3600,2761369,Vienna,200,,281.23,285.7,282.67,1015,70,1641192303,1641222746
10,"{'lon': 36.8167, 'lat': -1.2833}","{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",stations,"{'temp': 294.8, 'feels_like': 294.25, 'temp_min': 294.8, 'temp_max': 294.8, 'pressure': 1011, 'humidity': 47, 'sea_level': 1011, 'grnd_level': 836}",10000,"{'speed': 6.45, 'deg': 66, 'gust': 7.81}",Clouds,1641222990,"{'type': 2, 'id': 2006176, 'country': 'KE', 'sunrise': 1641180670, 'sunset': 1641224562}",10800,184745,Nairobi,200,,294.8,294.8,294.25,1011,47,1641180670,1641224562
11,"{'lon': 3.75, 'lat': 6.5833}","{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",stations,"{'temp': 307.21, 'feels_like': 305.61, 'temp_min': 307.21, 'temp_max': 307.21, 'pressure': 1007, 'humidity': 24, 'sea_level': 1007, 'grnd_level': 1007}",10000,"{'speed': 3.43, 'deg': 189, 'gust': 3.33}",Clouds,1641223177,"{'country': 'NG', 'sunrise': 1641189405, 'sunset': 1641231704}",3600,2332453,Lagos,200,,307.21,307.21,305.61,1007,24,1641189405,1641231704
12,"{'lon': -0.1969, 'lat': 5.556}","{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",stations,"{'temp': 304.38, 'feels_like': 311.37, 'temp_min': 304.38, 'temp_max': 304.38, 'pressure': 1008, 'humidity': 70}",8000,"{'speed': 5.14, 'deg': 170}",Clouds,1641223268,"{'type': 1, 'id': 1126, 'country': 'GH', 'sunrise': 1641190248, 'sunset': 1641232756}",0,2306104,Accra,200,,304.38,304.38,311.37,1008,70,1641190248,1641232756
13,"{'lon': 31.2497, 'lat': 30.0626}","{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",stations,"{'temp': 292.57, 'feels_like': 292, 'temp_min': 292.27, 'temp_max': 292.57, 'pressure': 1020, 'humidity': 55}",10000,"{'speed': 1.54, 'deg': 300}",Clouds,1641222885,"{'type': 1, 'id': 2514, 'country': 'EG', 'sunrise': 1641185481, 'sunset': 1641222424}",7200,360630,Cairo,200,,292.27,292.57,292.0,1020,55,1641185481,1641222424
14,"{'lon': 13.2343, 'lat': -8.8368}","{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",stations,"{'temp': 301.15, 'feels_like': 304.36, 'temp_min': 301.15, 'temp_max': 301.15, 'pressure': 1006, 'humidity': 74}",10000,"{'speed': 4.63, 'deg': 260}",Clouds,1641223097,"{'type': 1, 'id': 2173, 'country': 'AO', 'sunrise': 1641185558, 'sunset': 1641230998}",3600,2240449,Luanda,200,,301.15,301.15,304.36,1006,74,1641185558,1641230998
15,"{'lon': 31.0292, 'lat': -29.8579}","{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",stations,"{'temp': 296.67, 'feels_like': 297.48, 'temp_min': 296.49, 'temp_max': 298.66, 'pressure': 1012, 'humidity': 92}",10000,"{'speed': 1.79, 'deg': 251, 'gust': 4.02}",Rain,1641223100,"{'type': 2, 'id': 2001517, 'country': 'ZA', 'sunrise': 1641178791, 'sunset': 1641229220}",7200,1007311,Durban,200,{'1h': 0.18},296.49,298.66,297.48,1012,92,1641178791,1641229220
16,"{'lon': 28.2871, 'lat': -15.4067}","{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",stations,"{'temp': 298.16, 'feels_like': 298.34, 'temp_min': 298.16, 'temp_max': 298.16, 'pressure': 1007, 'humidity': 62, 'sea_level': 1007, 'grnd_level': 872}",10000,"{'speed': 3.74, 'deg': 107, 'gust': 4.93}",Rain,1641223281,"{'country': 'ZM', 'sunrise': 1641181239, 'sunset': 1641228089}",7200,909137,Lusaka,200,{'1h': 0.41},298.16,298.16,298.34,1007,62,1641181239,1641228089
17,"{'lon': 32.5892, 'lat': -25.9653}","{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",stations,"{'temp': 301.05, 'feels_like': 304.43, 'temp_min': 300.97, 'temp_max': 301.05, 'pressure': 1010, 'humidity': 76}",10000,"{'speed': 1.79, 'deg': 246, 'gust': 4.92}",Clouds,1641223278,"{'type': 2, 'id': 2030503, 'country': 'MZ', 'sunrise': 1641178945, 'sunset': 1641228317}",7200,1040652,Maputo,200,,300.97,301.05,304.43,1010,76,1641178945,1641228317
18,"{'lon': 30.0588, 'lat': -1.95}","{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",stations,"{'temp': 291.33, 'feels_like': 291.63, 'temp_min': 291.33, 'temp_max': 291.86, 'pressure': 1017, 'humidity': 93}",10000,"{'speed': 2.68, 'deg': 140}",Rain,1641223278,"{'type': 2, 'id': 47683, 'country': 'RW', 'sunrise': 1641182225, 'sunset': 1641226252}",7200,202061,Kigali,200,{'1h': 0.43},291.33,291.86,291.63,1017,93,1641182225,1641226252
19,"{'lon': -17.4441, 'lat': 14.6937}","{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",stations,"{'temp': 302.22, 'feels_like': 301.74, 'temp_min': 302.22, 'temp_max': 306.64, 'pressure': 1011, 'humidity': 39}",10000,"{'speed': 5.14, 'deg': 40}",Clear,1641223247,"{'type': 1, 'id': 2419, 'country': 'SN', 'sunrise': 1641195339, 'sunset': 1641235947}",0,2253354,Dakar,200,,302.22,306.64,301.74,1011,39,1641195339,1641235947
20,"{'lon': 100.5167, 'lat': 13.75}","{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",stations,"{'temp': 300.24, 'feels_like': 305.19, 'temp_min': 298.66, 'temp_max': 301.96, 'pressure': 1013, 'humidity': 99, 'sea_level': 1013, 'grnd_level': 1012}",10000,"{'speed': 2.21, 'deg': 77, 'gust': 3.77}",Clouds,1641223278,"{'type': 2, 'id': 2032756, 'country': 'TH', 'sunrise': 1641166920, 'sunset': 1641207726}",25200,1609350,Bangkok,200,,298.66,301.96,305.19,1013,99,1641166920,1641207726
21,"{'lon': 139.6917, 'lat': 35.6895}","{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}",stations,"{'temp': 278.25, 'feels_like': 276.11, 'temp_min': 274.73, 'temp_max': 281.87, 'pressure': 1012, 'humidity': 69}",10000,"{'speed': 2.57, 'deg': 280}",Clouds,1641222964,"{'type': 2, 'id': 2038398, 'country': 'JP', 'sunrise': 1641246678, 'sunset': 1641282013}",32400,1850144,Tokyo,200,,274.73,281.87,276.11,1012,69,1641246678,1641282013
22,"{'lon': 106.8451, 'lat': -6.2146}","{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",stations,"{'temp': 301.32, 'feels_like': 303.34, 'temp_min': 298.95, 'temp_max': 301.53, 'pressure': 1010, 'humidity': 64, 'sea_level': 1010, 'grnd_level': 1008}",10000,"{'speed': 2.71, 'deg': 121, 'gust': 3.99}",Clouds,1641223222,"{'type': 2, 'id': 2033644, 'country': 'ID', 'sunrise': 1641163355, 'sunset': 1641208253}",25200,1642911,Jakarta,200,,298.95,301.53,303.34,1010,64,1641163355,1641208253
23,"{'lon': 72.8479, 'lat': 19.0144}","{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}",stations,"{'temp': 301.14, 'feels_like': 302.26, 'temp_min': 301.14, 'temp_max': 301.14, 'pressure': 1014, 'humidity': 57}",2500,"{'speed': 1.54, 'deg': 360}",Smoke,1641223173,"{'type': 1, 'id': 9052, 'country': 'IN', 'sunrise': 1641174139, 'sunset': 1641213793}",19800,1275339,Mumbai,200,,301.14,301.14,302.26,1014,57,1641174139,1641213793
24,"{'lon': 121.4581, 'lat': 31.2222}","{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",stations,"{'temp': 281.24, 'feels_like': 280.31, 'temp_min': 278.08, 'temp_max': 282.55, 'pressure': 1020, 'humidity': 68}",10000,"{'speed': 1.79, 'deg': 118}",Clear,1641223263,"{'type': 2, 'id': 2002757, 'country': 'CN', 'sunrise': 1641163988, 'sunset': 1641200603}",28800,1796236,Shanghai,200,,278.08,282.55,280.31,1020,68,1641163988,1641200603
25,"{'lon': 120.9822, 'lat': 14.6042}","{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",stations,"{'temp': 298.8, 'feels_like': 299.14, 'temp_min': 298.09, 'temp_max': 299.15, 'pressure': 1014, 'humidity': 66}",10000,"{'speed': 2.57, 'deg': 120}",Clouds,1641223264,"{'type': 2, 'id': 2008256, 'country': 'PH', 'sunrise': 1641162099, 'sunset': 1641202721}",28800,1701668,Manila,200,,298.09,299.15,299.14,1014,66,1641162099,1641202721
26,"{'lon': 105.8412, 'lat': 21.0245}","{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",stations,"{'temp': 291.15, 'feels_like': 291.15, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 1020, 'humidity': 82, 'sea_level': 1020, 'grnd_level': 1018}",10000,"{'speed': 3.54, 'deg': 143, 'gust': 6.98}",Clouds,1641223187,"{'type': 1, 'id': 9308, 'country': 'VN', 'sunrise': 1641166448, 'sunset': 1641205642}",25200,1581130,Hanoi,200,,291.15,291.15,291.15,1020,82,1641166448,1641205642
27,"{'lon': 135.5022, 'lat': 34.6937}","{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",stations,"{'temp': 278.74, 'feels_like': 275.97, 'temp_min': 275.08, 'temp_max': 282.07, 'pressure': 1020, 'humidity': 41, 'sea_level': 1020, 'grnd_level': 1018}",10000,"{'speed': 3.6, 'deg': 269, 'gust': 8.78}",Clear,1641223281,"{'type': 2, 'id': 20513, 'country': 'JP', 'sunrise': 1641247530, 'sunset': 1641283172}",32400,1853909,Osaka,200,,275.08,282.07,275.97,1020,41,1641247530,1641283172
28,"{'lon': 90.4074, 'lat': 23.7104}","{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}",stations,"{'temp': 294.14, 'feels_like': 294.07, 'temp_min': 294.14, 'temp_max': 294.14, 'pressure': 1017, 'humidity': 68}",3500,"{'speed': 3.09, 'deg': 300}",Haze,1641223143,"{'type': 1, 'id': 9145, 'country': 'BD', 'sunrise': 1641170470, 'sunset': 1641209031}",21600,1185241,Dhaka,200,,294.14,294.14,294.07,1017,68,1641170470,1641209031
29,"{'lon': 28.9833, 'lat': 41.0351}","{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",stations,"{'temp': 284.55, 'feels_like': 283.73, 'temp_min': 283.83, 'temp_max': 286.31, 'pressure': 1015, 'humidity': 76}",10000,"{'speed': 4.12, 'deg': 220}",Clear,1641222733,"{'type': 1, 'id': 6970, 'country': 'TR', 'sunrise': 1641187750, 'sunset': 1641221244}",10800,745042,Istanbul,200,,283.83,286.31,283.73,1015,76,1641187750,1641221244
